Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.048023,27.617976,15.046747,0.28667,0.000584
2022-01-03T00:00:00Z,57.912538,26.020217,15.818531,0.246596,0.002118
2022-01-10T00:00:00Z,49.382985,18.102691,32.346737,0.166961,0.000627
2022-01-17T00:00:00Z,47.842224,18.166619,33.796128,0.193164,0.001865
2022-01-24T00:00:00Z,41.405784,16.492687,41.950872,0.150245,0.000412
2022-01-31T00:00:00Z,54.865204,22.024782,22.929654,0.179663,0.000697
2022-02-07T00:00:00Z,56.680246,25.967794,17.162539,0.187656,0.001764
2022-02-14T00:00:00Z,53.469944,25.984544,20.3684,0.177112,0.0
2022-02-21T00:00:00Z,53.428341,24.955261,21.424167,0.190888,0.001344
2022-02-28T00:00:00Z,52.311007,24.902653,22.59867,0.187344,0.000327
2022-03-07T00:00:00Z,54.824094,24.495536,20.51539,0.163853,0.001127
2022-03-14T00:00:00Z,53.580906,24.413356,21.898267,0.10704,0.00043
2022-03-21T00:00:00Z,56.706649,22.558144,20.622696,0.112215,0.000296
2022-03-28T00:00:00Z,56.680165,28.203519,14.965164,0.150814,0.000339
2022-04-04T00:00:00Z,56.9889,26.077749,16.762979,0.170173,0.000198
2022-04-11T00:00:00Z,51.901221,29.098879,18.844052,0.150219,0.005629
2022-04-18T00:00:00Z,62.813853,21.88637,15.066679,0.23258,0.000519
2022-04-25T00:00:00Z,60.233656,24.419251,15.088304,0.258408,0.000382
2022-05-02T00:00:00Z,57.90995,26.895394,14.970905,0.222415,0.001336
2022-05-09T00:00:00Z,61.198285,22.521354,16.10232,0.174908,0.003133
2022-05-16T00:00:00Z,58.614117,25.223353,15.932939,0.228421,0.001169
2022-05-23T00:00:00Z,54.957862,26.006666,18.754725,0.279351,0.001397
2022-05-30T00:00:00Z,53.759874,23.245846,22.579332,0.414593,0.000356
2022-06-06T00:00:00Z,57.536083,24.800102,17.259917,0.4032,0.000698
2022-06-13T00:00:00Z,56.906487,26.736417,15.90062,0.450351,0.006125
2022-06-20T00:00:00Z,57.0406,24.59495,17.673988,0.689544,0.000918
2022-06-27T00:00:00Z,55.029419,23.976669,20.607115,0.386269,0.000528
2022-07-04T00:00:00Z,55.982635,24.664739,18.87348,0.478442,0.000704
2022-07-11T00:00:00Z,55.703367,23.664668,20.253633,0.375661,0.002671
2022-07-18T00:00:00Z,55.858525,23.35174,20.239892,0.549843,0.0
2022-07-25T00:00:00Z,56.307463,23.804529,19.409185,0.478077,0.000747
2022-08-01T00:00:00Z,57.297727,24.017708,18.202747,0.477652,0.004166
2022-08-08T00:00:00Z,57.417803,21.682304,20.489188,0.40898,0.001726
2022-08-15T00:00:00Z,59.003693,20.373994,20.220124,0.397484,0.004705
2022-08-22T00:00:00Z,57.128531,21.475384,20.995297,0.399136,0.001652
2022-08-29T00:00:00Z,54.665457,21.032828,23.77505,0.524144,0.002521
2022-09-05T00:00:00Z,56.59055,23.24519,19.539822,0.622588,0.00185
2022-09-12T00:00:00Z,55.533959,23.108063,21.001199,0.35641,0.00037
2022-09-19T00:00:00Z,53.912988,24.958929,20.637484,0.487647,0.002952
2022-09-26T00:00:00Z,54.451139,21.189391,23.976293,0.377918,0.005258
2022-10-03T00:00:00Z,56.769442,22.991841,19.72647,0.509998,0.002248
2022-10-10T00:00:00Z,61.752781,21.460532,16.45084,0.331228,0.004619
2022-10-17T00:00:00Z,59.976124,22.752351,16.950812,0.318615,0.002097
2022-10-24T00:00:00Z,56.445175,25.248453,17.983466,0.320682,0.002224
2022-10-31T00:00:00Z,57.288532,23.460357,18.911671,0.334451,0.004989
2022-11-07T00:00:00Z,57.646294,24.035957,18.017579,0.298156,0.002015
2022-11-14T00:00:00Z,53.719389,28.625019,17.352305,0.303011,0.000277
2022-11-21T00:00:00Z,57.237841,24.359195,18.054532,0.346249,0.002183
2022-11-28T00:00:00Z,58.687744,23.962467,17.049671,0.29831,0.001808
2022-12-05T00:00:00Z,57.080696,26.875436,15.758214,0.28368,0.001974
2022-12-12T00:00:00Z,55.067827,26.784166,17.819605,0.326627,0.001776
2022-12-19T00:00:00Z,54.536462,26.02797,19.039909,0.389624,0.006035
2022-12-26T00:00:00Z,53.541111,25.318281,20.84209,0.296158,0.00236
