Serie_0 timestamps,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S 1.0,Serie_0  T L S 1.1,Serie_0  T L S  Q U I C
2021-12-27T00:00:00Z,81.538462,18.461538,0.0,0.0,0.0
2022-01-03T00:00:00Z,8.571429,91.428571,0.0,0.0,0.0
2022-01-10T00:00:00Z,30.769231,53.846154,0.0,0.0,15.384615
2022-01-17T00:00:00Z,0.0,81.818182,0.0,0.0,18.181818
2022-01-24T00:00:00Z,6.269592,88.401254,0.0,0.0,5.329154
2022-01-31T00:00:00Z,13.043478,73.913043,0.0,0.0,13.043478
2022-02-07T00:00:00Z,56.097561,43.902439,0.0,0.0,0.0
2022-02-14T00:00:00Z,3.846154,84.615385,0.0,0.0,11.538462
2022-02-21T00:00:00Z,11.764706,52.941176,0.0,0.0,35.294118
2022-02-28T00:00:00Z,10.714286,89.285714,0.0,0.0,0.0
2022-03-07T00:00:00Z,2.754821,96.556474,0.0,0.0,0.688705
2022-03-14T00:00:00Z,100.0,0.0,0.0,0.0,0.0
2022-03-21T00:00:00Z,61.111111,38.888889,0.0,0.0,0.0
2022-03-28T00:00:00Z,5.0,95.0,0.0,0.0,0.0
2022-04-04T00:00:00Z,0.0,0.0,0.0,0.0,100.0
2022-04-11T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-04-18T00:00:00Z,25.0,75.0,0.0,0.0,0.0
2022-04-25T00:00:00Z,3.448276,96.551724,0.0,0.0,0.0
2022-05-02T00:00:00Z,63.934426,31.147541,0.0,0.0,4.918033
2022-05-09T00:00:00Z,6.666667,93.333333,0.0,0.0,0.0
2022-05-16T00:00:00Z,31.25,18.75,0.0,0.0,50.0
2022-05-23T00:00:00Z,0.0,83.333333,0.0,0.0,16.666667
2022-05-30T00:00:00Z,48.148148,33.333333,0.0,0.0,18.518519
2022-06-06T00:00:00Z,0.0,78.947368,0.0,0.0,21.052632
2022-06-13T00:00:00Z,6.666667,53.333333,0.0,0.0,40.0
2022-06-20T00:00:00Z,0.0,25.0,0.0,0.0,75.0
2022-06-27T00:00:00Z,0.0,86.792453,0.0,0.0,13.207547
2022-07-04T00:00:00Z,21.428571,28.571429,0.0,0.0,50.0
2022-07-11T00:00:00Z,6.060606,72.727273,0.0,0.0,21.212121
2022-07-18T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-07-25T00:00:00Z,19.047619,76.190476,0.0,0.0,4.761905
2022-08-01T00:00:00Z,52.941176,47.058824,0.0,0.0,0.0
2022-08-08T00:00:00Z,100.0,0.0,0.0,0.0,0.0
2022-08-15T00:00:00Z,18.181818,81.818182,0.0,0.0,0.0
2022-08-22T00:00:00Z,0.0,75.0,0.0,0.0,25.0
2022-08-29T00:00:00Z,87.5,12.5,0.0,0.0,0.0
2022-09-05T00:00:00Z,3.571429,92.857143,0.0,0.0,3.571429
2022-09-12T00:00:00Z,6.25,87.5,0.0,0.0,6.25
2022-09-19T00:00:00Z,100.0,0.0,0.0,0.0,0.0
2022-09-26T00:00:00Z,0.0,50.0,0.0,0.0,50.0
2022-10-03T00:00:00Z,0.0,70.588235,0.0,0.0,29.411765
2022-10-10T00:00:00Z,0.0,84.615385,0.0,0.0,15.384615
2022-10-17T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-10-24T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-10-31T00:00:00Z,0.0,100.0,0.0,0.0,0.0
2022-11-07T00:00:00Z,50.0,33.333333,0.0,0.0,16.666667
2022-11-14T00:00:00Z,54.054054,45.945946,0.0,0.0,0.0
2022-11-21T00:00:00Z,3.90625,94.53125,0.0,0.0,1.5625
2022-11-28T00:00:00Z,0.0,98.913043,0.0,0.0,1.086957
2022-12-05T00:00:00Z,41.666667,58.333333,0.0,0.0,0.0
2022-12-12T00:00:00Z,35.135135,64.864865,0.0,0.0,0.0
2022-12-19T00:00:00Z,0.0,0.0,0.0,0.0,0.0
2022-12-26T00:00:00Z,10.0,70.0,0.0,0.0,20.0
